name,other_names,code2,code3,speakers,countries_spoken
Abkhazian,,ab,abk,190110,Georgia
Afar,,aa,aar,1973800,Djibouti/Eritrea/Ethiopia
Afrikaans,,af,afr,7200000,South Africa/Namibia
Akan,,ak,aka,11100000,Ghana
Albanian,,sq,sqi,7500000,Albania
Amharic,,am,amh,32000000,Ethiopia
Arabic,,ar,ara,360000000,
Algerian Arabic,,ar,arq,42500000,Algeria
Algerian Saharan Arabic,,ar,aao,110000,Algeria/Niger/Morocco/Western Sahara/Mauritania/Mali/Libya
Baharna Arabic,,ar,abv,730000,Bahrain/Oman
Chadian Arabic,,ar,shu,1600000,Chad/Central African Republic/Cameroon/Sudan/South Sudan/Nigeria/Niger
Dhofari Arabic,,ar,adf,70000,Oman/Yemen
Northwest Arabian Arabic,,ar,avl,2240000,Egypt/Jordan/Israel/Palestine/Saudi Arabia
Egyptian Arabic,,ar,arz,83000000,Egypt
Gulf Arabic,,ar,afb,6800000,Bahrain/Qata/ UAE
Hadrami Arabic,,ar,ayh,4560000,Saudi Arabia/Oman/Yemen/Djibouti/Somalia
Hijazi Arabic,,ar,acw,14500000,Saudi Arabia
Libyan Arabic,,ar,ayl,6095000,Libya/Tunisia/Algeria/Egypt/Niger/Chad/Nigeria
Mesopotamian Arabic,,ar,acm,15700000,Iraq/Syria/Turkey/Iran/Kuwait/Jordan
Moroccan Arabic,,ar,ary,31550000,Morocco
Najdi Arabic,,ar,ars,4050000,Saudi Arabia/Jordan/Kuwait/Iraq/Syria
North Levantine Arabic,,ar,apc,24600000,Lebanon/Syria/Turkey
North Mesopotamian Arabic,,ar,ayp,8700000,Iraq/Iran/Syria/Turkey/Cyprus
Omani Arabic,,ar,acx,720000,Oman
Saidi Arabic,,ar,aec,22400000,Egypt
Sanaani Arabic,,ar,ayn,11400000,Yemen
Shihhi Arabic,,ar,ssh,15000,United Arab Emirates/Oman
South Levantine Arabic,,ar,ajp,17000000,Jordan/Palestine/Israel/Syria
Standard Arabic,,ar,arb,280000000,Algeria/Bahrain/Chad/Comoros/Djibouti/Egypt/Iraq/Jordan/Kuwait/Lebanon/Libya/Mauritania/Morocco/Oman/Palestine/Qatar/Saudi Arabia/Somalia/Sudan/Syria/Tunisia/United Arab Emirates/Yemen
Sudanese Arabic,,ar,apd,33300000,Sudan/South Sudan/Eritrea
Juba Arabic,,ar,pga,800000,South Sudan
Taizzi-Adeni Arabic,,ar,acq,10500000,Yemen/Djibouti
Central Asian Arabic,,ar,abh,6000,Afghanistan/Iran/Tajikistan/Uzbekistan
Tunisian Arabic,,ar,aeb,12200000,Tunisia/Algeria
Aragonese,,an,arg,12000,Spain
Armenian,,hy,hye,6000000,Armenia
Assamese,,as,asm,15300000,India
Avaric,,av,ava,1000000,Azerbaijan
Aymara,,ay,aym,1700000,Bolivia/Chile/Peru/Argentina
Azerbaijani,,az,aze,13800000,Azerbaijan/Iran/Russia/Turkey/Georgia
Bambara,,bm,bam,4100000,Mali
Bashkir,,ba,bak,1400000,Russia
Basque,,eu,eus,750000,Spain/France
Bavarian,,,bar,14100000,Germany/Austria
Belarusian,,be,bel,5100000,Belarus
Bengali,,bn,ben,300000000,Bangladesh/India
Bhojpuri,,bho,bho,52200000,India/Fiji
Bislama,,bi,bis,10000,Vanuatu
Bosnian,,bs,bos,2500000,Bosnia and Herzegovina
Breton,,br,bre,210000,France
Bulgarian,,bg,bul,8000000,Bulgaria/Albania/Greece/Romania/North Macedonia/Moldova/Serbia/Turkey/Ukraine
Burmese,,my,mya,33000000,Myanmar/Bangladesh/India
Catalan,Valencian,ca,cat,4100000,Spain/Andorra/France/Italy
Cebuano,,ceb,ceb,15900000,Philippines
Chamorro,,ch,cha,58000,United States/Guam/Mariana Islands
Chechen,,ce,che,2000000,Russia
Chewa,Chichewa/Nyanja,ny,nya,12000000,Malawi/Zambia/Mozambique/Zimbabwe
Chhattisgarhi,,,hne,16300000,India
Chinese,,zh,zho,1350000000,China
Gan Chinese,,zh,gan,22100000,China
Jin Chinese,,zh,cjy,46900000,China
Mandarin Chinese,,zh,cmn,929000000,China
Wu Chinese,,zh,wuu,81700000,China
Xiang Chinese,,zh,hsn,37300000,China
Yue Chinese,Cantonese,zh,yue,85200000,China/Hong Kong
Northern Min,,zh,mnp,11000000,China
Eastern Min,,zh,cdo,10300000,China
Southern Min,,zh,nan,50100000,China
Hakka,,zh,hak,48200000,China/Taiwan
Chittagonian,,,cte,13000000,Bangladesh
Chuvash,,cv,chv,1042989,Russia
Corsican,,co,cos,150000,France/Italy
Cree,,cr,cre,96000,Canada
Croatian,,hr,hrv,5600000,Croatia/Bosnia and Herzegovina/Serbia
Czech,,cs,ces,10700000,Czech Republic
Danish,,da,dan,6000000,Denmark
Deccani,,,,12800000,India
Maldivian,Divehi/Dhivehi,dv,div,340000,Maldives
Dutch,Flemish,nl,nld,23100000,Netherlands
Dzongkha,,dz,dzo,640000,Bhutan
English,,en,eng,372900000,Antigua and Barbuda/Bahamas/Barbados/Belize/Botswana/Canada/Dominica/Fiji/Gambia/Ghana/Grenada/Guyana/Ireland/Jamaica/Kenya/Liberia/Malawi/Mauritius/Micronesia/Nigeria/Papua New Guinea/Philippines/Saint Kitts and Nevis/Saint Lucia/Saint Vincent and the Grenadines/Sierra Leone/Singapore/Solomon Islands/South Africa/South Sudan/Trinidad and Tobago/Zambia/Australia/New Zealand/United Kingdom/United States
Esperanto,,eo,epo,30000,
Estonian,,et,est,1100000,Estonia
Ewe,,ee,ewe,20000000,Ghana/Togo/Benin
Faroese,,fo,fao,72000,Faroe Islands
Fijian,,fj,fij,320000,Fiji
Finnish,,fi,fin,5800000,Finland
French,,fr,fra,79900000,Benin/Burkina Faso/Congo/DR Congo/Ivory Coast/France/Gabon/Guinea/Mali/Monaco/Niger/Senegal/Togo/Belgium/Burundi/Cameroon/Canada/Chad/Central African Republic/Comoros/Djibouti/Equatorial Guinea/Haiti/Luxembourg/Madagascar/Rwanda/Seychelles/Switzerland/Vanuatu
Western Frisian,,fy,fry,470000,Netherlands
Fula,Fulah/Fulani,ff,ful,30000000,Nigeria/Senegal/Guinea/Cameroon/Mali/Burkina Faso/Niger/Benin/Guinea-Bissau/Gambia/Chad/Sudan/Sierra Leona/Central African Republic
Gaelic,Scottish Gaelic,gd,gla,57000,United Kingdom
Galician,,gl,glg,2400000,Spain
Luganda,Ganda,lg,lug,20000000,Uganda
Georgian,,ka,kat,3700000,Georgia
German,,de,deu,75600000,Germany/Austria/Switzerland/Liechtenstein/Luxembourg/Belgium/Namibia
Greek,,el,ell,13100000,Greece/Cyprus
Greenlandic,Kalaallisut,kl,kal,56000,Greenland
Guarani,,gn,grn,6500000,Paraguay/Bolivia/Argentina/Brazil
Gujarati,,gu,guj,57000000,India
Haitian,Haitian Creole,ht,hat,12000000,Haiti
Hausa,,ha,hau,43900000,Nigeria/Niger/Chad/Cameroon/Benin/Ghana
Hebrew,,he,heb,9000000,Israel
Herero,,hz,her,211700,Namibia/Botswana/Angola
Hindi,,hi,hin,343900000,India
Hiri Motu,Hiri,ho,hmo,120000,Papua New Guinea
Hungarian,,hu,hun,12600000,Hungary/Croatia/Romania/Slovakia/Ukraine/Serbia/Slovenia
Icelandic,,is,isl,314000,Iceland
Ido,,io,ido,5000,
Igbo,,ig,ibo,27000000,Igbo
Indonesian,,id,ind,43600000,Indonesia
Interlingua,,ia,ina,1500,
Interlingue,Occidental,ie,ile,100,
Inuktitut,,iu,iku,39475,Canada
Inupiaq,,ik,ipk,2144,United States
Irish,Gaelic,ga,gle,1761420,Ireland
Italian,,it,ita,64800000,Italy/San Marino/Vatican City/Switzerland
Japanese,,ja,jpn,125300000,Japan
Javanese,,jv,jav,68300000,Indonesia
Kannada,,kn,kan,43600000,India
Kanuri,,kr,kau,8845500,Nigeria/Niger/Chad/Cameroon/Sudan/Libya
Kashmiri,,ks,kas,7000000,India/Pakistan
Kazakh,Qazaq,kk,kaz,12900000,Kazakhstan/China/Mongolia/Russia/Kyrgyzstan/Uzbekistan
Central Khmer,Khmer,km,khm,16600000,Cambodia/Thailand/Vietnam
Kikuyu,Gikuyu,ki,kik,6600000,Kenya
Kinyarwanda,Rwandan/Rwanda/Ikinyarwanda,rw,kin,12100000,Rwanda/Uganda/Democratic Republic of the Congo/Tanzania
Kyrgyz,Kirghiz,ky,kir,4500000,Kyrgyzstan/Afghanistan/Tajikistan/Pakistan
Komi,,kv,kom,160000,Russia
Kongo,,kg,kon,6500000,Democratic Republic of the Congo/Angola/Republic of the Congo/Gabon
Korean,,ko,kor,81700000,North Korea/South Korea
Kwanyama,Cuanhama,kj,kua,670000,Namibia/Angola
Kurdish,,ku,kur,14600000,Turkey/Iraq/Iran/Syria/Armenia/Azerbaijan
Lao,,lo,lao,30000000,Laos/Thailand/Cambodia/Vietnam/China
Latvian,,lv,lav,1750000,Latvia
