language,language_code,word,part_of_speech,frequency
German,de,die,PROPN,0.03020000
German,de,der,PROPN,0.02880000
German,de,und,CONJ,0.02630000
German,de,in,PROPN,0.01740000
German,de,das,PROPN,0.01450000
German,de,ich,NOUN,0.01200000
German,de,ist,PROPN,0.01200000
German,de,nicht,PROPN,0.01020000
German,de,zu,PART,0.01020000
German,de,den,PROPN,0.01000000
German,de,von,PROPN,0.00977000
German,de,mit,PROPN,0.00955000
German,de,es,PROPN,0.00871000
German,de,ein,PROPN,0.00813000
German,de,auf,PROPN,0.00776000
German,de,für,PROPN,0.00759000
German,de,im,PROPN,0.00724000
German,de,sie,PROPN,0.00661000
German,de,eine,PROPN,0.00631000
German,de,sich,PROPN,0.00617000
German,de,auch,PROPN,0.00603000
German,de,dem,PROPN,0.00575000
German,de,des,PROPN,0.00550000
German,de,als,PROPN,0.00513000
German,de,er,PROPN,0.00513000
German,de,an,PROPN,0.00490000
German,de,dass,NOUN,0.00490000
German,de,so,PROPN,0.00490000
German,de,bei,PROPN,0.00457000
German,de,wie,PUNCT,0.00447000
German,de,aber,PROPN,0.00427000
German,de,aus,PROPN,0.00398000
German,de,hat,PROPN,0.00398000
German,de,sind,PROPN,0.00398000
German,de,nach,PROPN,0.00363000
German,de,noch,PROPN,0.00355000
German,de,wir,NOUN,0.00347000
German,de,du,PROPN,0.00339000
German,de,war,PROPN,0.00339000
German,de,nur,PROPN,0.00331000
German,de,wenn,NOUN,0.00324000
German,de,oder,PUNCT,0.00316000
German,de,wird,AUX,0.00316000
German,de,was,PROPN,0.00309000
German,de,werden,AUX,0.00309000
German,de,einen,PROPN,0.00302000
German,de,am,PROPN,0.00288000
German,de,man,PROPN,0.00288000
German,de,um,PROPN,0.00288000
German,de,haben,VERB,0.00282000
German,de,einer,NOUN,0.00263000
German,de,zum,PROPN,0.00257000
German,de,kann,PROPN,0.00251000
German,de,über,PROPN,0.00245000
German,de,da,PROPN,0.00234000
German,de,dann,PROPN,0.00224000
German,de,einem,PROPN,0.00224000
German,de,schon,PROPN,0.00219000
German,de,habe,PROPN,0.00214000
German,de,ja,PROPN,0.00214000
German,de,mehr,PROPN,0.00214000
German,de,mir,PROPN,0.00209000
German,de,sein,PROPN,0.00209000
German,de,vor,PROPN,0.00204000
German,de,mal,PROPN,0.00191000
German,de,zur,PROPN,0.00186000
German,de,durch,PROPN,0.00182000
German,de,hier,PROPN,0.00182000
German,de,mich,NOUN,0.00182000
German,de,bis,NOUN,0.00170000
German,de,doch,PROPN,0.00166000
German,de,ihr,PROPN,0.00166000
German,de,immer,PROPN,0.00162000
German,de,jetzt,PROPN,0.00162000
German,de,diese,PRON,0.00158000
German,de,wurde,AUX,0.00155000
German,de,1,PROPN,0.00151000
German,de,wieder,PROPN,0.00151000
German,de,keine,PROPN,0.00145000
German,de,alle,PROPN,0.00141000
German,de,sehr,PROPN,0.00138000
German,de,können,AUX,0.00132000
German,de,muss,AUX,0.00132000
German,de,2,PROPN,0.00129000
German,de,uns,PRON,0.00129000
German,de,bin,PROPN,0.00126000
German,de,unter,PROPN,0.00126000
German,de,vom,PROPN,0.00126000
German,de,gut,PROPN,0.00123000
German,de,gibt,PROPN,0.00115000
German,de,hatte,PROPN,0.00115000
German,de,ihre,PROPN,0.00115000
German,de,3,PROPN,0.00112000
German,de,dieser,PRON,0.00110000
German,de,gegen,PROPN,0.00107000
German,de,seine,PROPN,0.00107000
German,de,alles,PROPN,0.00105000
German,de,also,PROPN,0.00100000
German,de,geht,PROPN,0.00100000
German,de,viel,PROPN,0.00100000
German,de,zeit,NOUN,0.00097700
German,de,ab,PROPN,0.00095500
German,de,ganz,PROPN,0.00095500
German,de,machen,PROPN,0.00095500
German,de,denn,PROPN,0.00093300
German,de,meine,NOUN,0.00093300
German,de,damit,PROPN,0.00091200
German,de,dir,NOUN,0.00091200
German,de,will,PROPN,0.00091200
German,de,einfach,PROPN,0.00089100
German,de,ohne,PROPN,0.00089100
German,de,weil,NOUN,0.00089100
German,de,beim,PROPN,0.00087100
German,de,etwas,PROPN,0.00087100
German,de,waren,VERB,0.00087100
German,de,zwei,NUM,0.00087100
German,de,mein,PROPN,0.00083200
German,de,eines,PROPN,0.00081300
German,de,kein,PROPN,0.00081300
German,de,seit,NOUN,0.00081300
German,de,soll,PROPN,0.00081300
German,de,selbst,PROPN,0.00079400
German,de,wo,PROPN,0.00079400
German,de,dich,NOUN,0.00077600
German,de,menschen,NOUN,0.00077600
German,de,hab,PROPN,0.00075900
German,de,heute,PROPN,0.00075900
German,de,kommt,PROPN,0.00075900
German,de,nichts,PROPN,0.00075900
German,de,nun,PROPN,0.00075900
German,de,würde,PROPN,0.00074100
German,de,leben,PROPN,0.00072400
German,de,wer,PROPN,0.00072400
German,de,macht,PROPN,0.00070800
German,de,anderen,NOUN,0.00069200
German,de,deutschland,PROPN,0.00069200
German,de,ihm,PROPN,0.00069200
German,de,jahr,NOUN,0.00069200
German,de,ob,PROPN,0.00069200
German,de,ihn,PROPN,0.00067600
German,de,jahren,NOUN,0.00067600
German,de,seiner,PROPN,0.00067600
German,de,viele,PROPN,0.00067600
German,de,zwischen,PROPN,0.00067600
German,de,jahre,NOUN,0.00066100
German,de,wäre,PROPN,0.00066100
German,de,diesem,PRON,0.00064600
German,de,dieses,PRON,0.00064600
German,de,wurden,VERB,0.00064600
German,de,4,PROPN,0.00063100
German,de,dabei,PROPN,0.00063100
German,de,a,PROPN,0.00060300
German,de,dort,PROPN,0.00060300
German,de,müssen,AUX,0.00060300
German,de,gerade,PROPN,0.00058900
German,de,neue,PROPN,0.00058900
German,de,sondern,PROPN,0.00058900
German,de,5,PROPN,0.00057500
German,de,erst,PROPN,0.00057500
German,de,ersten,NOUN,0.00057500
German,de,ihrer,PROPN,0.00057500
German,de,lassen,VERB,0.00057500
German,de,sollte,PROPN,0.00057500
German,de,andere,PROPN,0.00056200
German,de,hast,PROPN,0.00056200
German,de,warum,PROPN,0.00056200
German,de,weiss,NOUN,0.00056200
German,de,weiter,PROPN,0.00056200
German,de,wirklich,PROPN,0.00056200
German,de,ihnen,PRON,0.00055000
German,de,ihren,PROPN,0.00055000
German,de,s,PROPN,0.00055000
German,de,mann,PROPN,0.00053700
German,de,wohl,PROPN,0.00053700
German,de,drei,NUM,0.00052500
German,de,seinen,PROPN,0.00052500
German,de,vielleicht,PROPN,0.00052500
German,de,dazu,PROPN,0.00051300
German,de,diesen,PRON,0.00051300
German,de,euch,NOUN,0.00051300
German,de,kommen,VERB,0.00051300
German,de,wollen,PROPN,0.00051300
German,de,bitte,NOUN,0.00050100
